,dt,dt_period,open,close,high,low,vol,turnover,m1,m2,macd_buy_signal,macd_sell_signal,jw,jw_buy_signal,jw_sell_signal,R6,duanxian,duanxian_buy_signal,duanxian_sell_signal,xcci,dcci,long_start,long_end,short_start,short_end,long_buy,long_sell,short_buy,short_sell,profit_rate
249,2022-07-07 09:31:00-04:00,20220707093100,25.144,26.524,26.764,24.954,137866336,3740410112.0,-5.81,-0.702,False,False,16.137788893992756,False,False,-12.001940111417866,3.5926978955654363,True,False,-100.61090451270725,-51.86849810628255,False,False,False,False,0,0,0,0,0.0
250,2022-07-08 09:31:00-04:00,20220708093100,25.754,26.654,27.074,25.304,159729216,4400549888.0,-5.74,-0.537,False,False,18.986633328884693,False,False,-7.999284602690182,4.002655508727685,True,False,-98.28224274480033,-46.33680673242285,False,False,False,False,0,0,0,0,0.0
251,2022-07-11 09:31:00-04:00,20220711093100,25.964,24.874,26.174,24.644,129224144,3409849344.0,-5.694,-0.494,False,False,20.10377777905657,False,False,-5.983975128588753,2.0153094741014286,True,False,-102.08780939316176,-58.87537644441961,False,False,False,False,0,0,0,0,0.0
252,2022-07-12 09:31:00-04:00,20220712093100,25.204,24.114,25.714,23.679,159616512,4116389888.0,-5.656,-0.494,False,False,21.640131154172366,False,False,-5.6426840494623605,0.34129107912639256,True,False,-104.05885304769721,-67.08502879147383,False,False,False,False,0,0,0,0,0.0
253,2022-07-13 09:31:00-04:00,20220713093100,22.604,23.954,25.113,22.204,180575504,4510304768.0,-5.618,-0.496,False,False,23.198614867324274,False,False,-6.162941350995794,-0.5202573015334337,False,True,-106.0006071760787,-76.09965332535995,False,False,False,False,0,0,0,0,0.0
254,2022-07-14 09:31:00-04:00,20220714093100,23.229,24.214,24.644,22.396,175823504,4297900032.0,-5.574,-0.477,False,False,24.93022093223984,False,False,-6.728761553149354,-0.5658202021535601,False,True,-104.62564269569565,-74.31662991149012,False,False,False,False,0,0,0,0,0.0
255,2022-07-15 09:31:00-04:00,20220715093100,25.034,25.554,25.714,23.839,154380176,4066840064.0,-5.51,-0.387,False,False,28.28547016569761,False,False,-5.930586380761667,0.7981751723876869,True,False,-97.48294978922036,-51.923477026537846,False,False,False,False,0,0,0,0,0.0
256,2022-07-18 09:31:00-04:00,20220718093100,26.374,24.934,26.754,24.614,159950224,4319969792.0,-5.454,-0.343,False,False,30.41073344759301,False,False,-5.321297140794513,0.6092892399671541,True,False,-94.40345087429063,-43.35294319162121,False,False,False,False,0,0,0,0,0.0
257,2022-07-19 09:31:00-04:00,20220719093100,25.914,27.224,27.854,24.934,149321696,4151869952.0,-5.365,-0.186,False,False,35.40243799262505,False,False,-2.500969149633761,2.8203279911607524,True,False,-87.54138904892922,-19.224322330036365,False,False,False,False,0,0,0,0,0.0
258,2022-07-20 09:31:00-04:00,20220720093100,27.424,28.654,29.009,27.054,188563056,5537780224.0,-5.259,0.013,False,False,41.769168731408136,False,False,2.267093774208888,4.768062923842649,True,False,-79.23617766140944,12.846309168520108,False,False,False,False,0,0,0,0,0.0
259,2022-07-21 09:31:00-04:00,20220721093100,28.774,29.924,30.004,27.995,159690880,4807790080.0,-5.137,0.234,False,False,49.132622100580576,False,False,8.596169106433138,6.3290753322242495,True,False,-73.24257179236328,37.17027844010132,False,False,False,False,0,0,0,0,0.0
